DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
001902,CAYUGA ISD,07,553,4.9,7.1,81.6,0,1.1,0,5.4,38,13.7
001903,ELKHART ISD,07,1207,4.2,9,82.3,0.2,1,0.2,3.1,51.5,8.9
001904,FRANKSTON ISD,07,762,12.2,8.7,74.9,0.4,0.3,0,3.5,58.4,9.7
001906,NECHES ISD,07,389,6.4,10.8,80.7,0,0.5,0,1.5,38.6,9
001907,PALESTINE ISD,07,3263,28,38.6,29,1.3,0.7,0,2.2,75.9,7.8
001908,WESTWOOD ISD,07,1602,17.5,22,55.2,0.3,0.6,0.2,4.1,61.7,10
001909,SLOCUM ISD,07,412,1.7,5.3,89.6,0.2,0,0,3.2,47.8,11.9
002901,ANDREWS ISD,18,3758,1.4,66.3,30,0.3,0.3,0,1.6,42,6.6
003801,PINEYWOODS COMMUNITY ACADEMY,07,701,17.4,15.3,63.3,0.1,2.3,0.1,1.4,49.1,6.6
003902,HUDSON ISD,07,2774,5.8,23.3,67.3,1,1,0,1.6,53.9,6.2
003903,LUFKIN ISD,07,8383,28.5,39.7,28,0.2,1.5,0.1,1.9,73.5,10.5
003904,HUNTINGTON ISD,07,1760,2.7,5.9,88.5,0.4,0.2,0,2.4,52,9.9
003905,DIBOLL ISD,07,1982,11.8,53.7,32.8,0.1,0.3,0,1.2,75.6,9.4
003906,ZAVALLA ISD,07,410,0.7,3.7,93.7,0.5,0,0,1.5,59,11.2
003907,CENTRAL ISD,07,1592,6.7,18.3,73.3,0.3,0.1,0,1.3,53.6,9.9
004901,ARANSAS COUNTY ISD,02,3212,1.2,41,53,0.4,2.4,0,2.1,55.6,8.7
005901,ARCHER CITY ISD,09,487,0.4,8.8,84.8,0.6,0,0,5.3,38.6,11.1
005902,HOLLIDAY ISD,09,892,0.3,8,89.3,0.8,0.1,0,1.5,27.2,10
005904,WINDTHORST ISD,09,461,0,29.5,69.2,1.1,0,0,0.2,40.3,7.6
006902,CLAUDE ISD,16,369,2.2,11.7,82.9,0.5,0,0,2.7,40.7,12.2
007901,CHARLOTTE ISD,20,534,0,84.1,15.2,0.2,0,0,0.6,71.3,9.2
007902,JOURDANTON ISD,20,1552,0.7,58.8,38.9,0.3,0.2,0.1,1.1,56.1,8.2
007904,LYTLE ISD,20,1762,0.7,79.9,18.4,0.4,0,0.2,0.3,71.5,6.6
007905,PLEASANTON ISD,20,3517,0.4,69.7,28.5,0.2,0.4,0,0.8,61.1,6.9
007906,POTEET ISD,20,1758,0.3,84.4,14.4,0.1,0.1,0.1,0.6,81.9,7.4
008901,BELLVILLE ISD,06,2121,10.7,27.3,58.9,0.3,0.2,0,2.6,45.8,8
008902,SEALY ISD,06,2766,10,46.9,40.8,0.2,0.3,0.1,1.8,55.5,8
008903,BRAZOS ISD,06,822,9.1,49.6,38.2,0,0.7,0,2.3,56.4,5.2
009901,MULESHOE ISD,17,1461,0.3,82,17,0,0.6,0,0.1,84.3,10.2
010901,MEDINA ISD,20,270,1.5,26.3,69.6,0.4,0,0,2.2,55.9,10.7
010902,BANDERA ISD,20,2369,0.5,30.6,66.2,0.6,0.5,0,1.5,51.1,9.7
011901,BASTROP ISD,13,9546,5.4,57.9,33.1,0.5,0.6,0,2.6,68.4,10.8
011902,ELGIN ISD,13,4178,12.8,56.8,27.5,0.2,0.4,0,2.4,71.7,8.6
011904,SMITHVILLE ISD,13,1799,7.8,26.7,61.1,0.5,0.4,0.1,3.3,58.3,8.9
011905,MCDADE ISD,13,210,0.5,53.8,45.2,0,0,0,0.5,74.3,6.7
012901,SEYMOUR ISD,09,570,2.3,20,73.5,0.5,0.4,0,3.3,53.2,10.9
013801,ST MARY'S ACADEMY CHARTER SCHOOL,02,434,1.2,80.6,14.3,0,3,0,0.9,76.7,6.9
013901,BEEVILLE ISD,02,3364,2.1,82.9,13.6,0.2,0.4,0.1,0.7,74.3,9.2
013902,PAWNEE ISD,02,164,0,77.4,21.3,0,0,0,1.2,54.3,9.1
013903,PETTUS ISD,02,438,2.3,62.3,33.3,0,0.2,0,1.8,59.8,12.8
013905,SKIDMORE-TYNAN ISD,02,789,1,64.9,32.2,0.9,0.5,0.3,0.3,55.8,10.3
014801,RICHARD MILBURN ALTER HIGH SCHOOL,12,132,37.1,34.1,22,0,0.8,1.5,4.5,68.2,17.4
014802,TRANSFORMATIVE CHARTER ACADEMY,12,91,41.8,35.2,17.6,0,1.1,1.1,3.3,68.1,6.6
014803,PRIORITY CHARTER SCHOOLS,12,885,16.4,25.2,51.6,0.2,1.1,0,5.4,52.3,10.2
014804,ORENDA CHARTER SCHOOL,12,1206,5.5,20.4,69.3,0.6,1.8,0.1,2.3,25.5,12.2
014901,ACADEMY ISD,12,1270,2.3,21.8,71.7,0.7,0.6,0.3,2.5,36.3,7.1
014902,BARTLETT ISD,13,395,11.4,61.8,24.6,0.3,0,0,2,72.9,9.4
014903,BELTON ISD,12,10305,6.5,32.5,54.7,0.7,1.6,0.2,3.7,50.4,10.5
014905,HOLLAND ISD,12,630,3,31.1,64.1,0.2,0.5,0,1.1,50.8,8.1
014906,KILLEEN ISD,12,41336,33.6,28.1,26.4,0.7,2.6,1.6,6.9,57.3,11.2
014907,ROGERS ISD,12,862,2.7,27.5,68,0.5,0.5,0.1,0.8,49.7,7.2
014908,SALADO ISD,12,1465,1,20.1,75,0.9,0.9,0.1,2.1,27.5,5.9
014909,TEMPLE ISD,12,8644,27.9,40.3,26.7,0.5,1.6,0.1,3,76.8,8.8
014910,TROY ISD,12,1434,1.5,23.7,72.4,0.5,0.6,0.1,1.2,48,9.3
015801,POR VIDA ACADEMY,20,303,2.6,89.1,7.6,0,0,0,0.7,69.6,17.2
015802,GEORGE GERVIN ACADEMY,20,1313,30.1,63.1,4.6,0.1,0.5,0.1,1.6,97.7,3
015803,HIGGS CARTER KING GIFTED & TALENTE,20,485,13.4,82.9,2.1,0.4,0,0.2,1,94.6,5.8
015805,NEW FRONTIERS CHARTER SCHOOL,20,615,1.3,96.3,2.3,0,0,0,0.2,89.3,8.8
015806,SCHOOL OF EXCELLENCE IN EDUCATION,20,1384,31.6,62.5,3.5,0,0.1,0.4,2,92.6,6.8
015807,SOUTHWEST PREPARATORY SCHOOL,20,627,11.5,81.7,6.2,0,0.2,0,0.5,77,12.8
015808,JOHN H WOOD JR PUBLIC CHARTER DIST,20,489,23.5,36,35.6,1.6,0.2,0.2,2.9,100,40.9
