DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
CAYUGA ISD,7,577,4.7,6.4,82.8,0.0,0.5,0.0,5.5,36.4,13.2,2,0,0,36,27,31,76,477,210
ELKHART ISD,7,1217,5.3,8.9,81.4,0.1,1.1,0.2,3.1,53.2,10.4,13,1,2,108,64,37,126,990,647
FRANKSTON ISD,7,803,11.1,10.3,73.2,0.5,0.9,0.0,4.0,55.5,9.7,7,4,0,82,89,32,77,587,445
NECHES ISD,7,370,8.1,11.1,78.9,0.0,0.3,0.0,1.6,42.2,11.1,1,0,0,41,29,5,41,291,156
PALESTINE ISD,7,3352,27.2,39.1,28.6,1.4,0.9,0.1,2.8,73.3,8.7,30,46,3,1310,911,93,291,958,2457
WESTWOOD ISD,7,1595,17.4,25.0,53.0,0.3,0.8,0.0,3.6,63.9,9.3,12,4,0,398,277,57,148,845,1019
SLOCUM ISD,7,389,1.3,5.7,90.0,1.0,0.0,0.0,2.1,41.9,12.3,0,3,0,22,5,8,47,350,162
ANDREWS ISD,18,4006,1.5,66.7,29.9,0.2,0.3,0.0,1.5,36.5,6.4,12,8,0,2672,60,60,256,1197,1462
PINEYWOODS COMMUNITY ACADEMY,7,811,16.5,17.3,61.9,0.0,2.3,0.1,1.8,50.2,6.0,18,0,0,140,133,14,48,502,407
HUDSON ISD,7,2816,6.8,23.0,67.1,0.9,0.9,0.0,1.3,53.2,7.1,25,25,0,647,191,36,199,1889,1498
LUFKIN ISD,7,8322,29.0,39.3,27.7,0.2,1.7,0.1,2.0,73.9,10.5,141,16,8,3270,2413,166,873,2305,6149
HUNTINGTON ISD,7,1755,1.7,6.6,88.8,0.5,0.1,0.0,2.3,50.6,9.6,1,8,0,115,29,40,168,1558,888
DIBOLL ISD,7,1930,12.0,53.8,32.1,0.1,0.3,0.1,1.6,67.2,11.0,5,1,1,1038,231,30,212,619,1296
ZAVALLA ISD,7,412,1.0,3.9,92.5,0.7,0.0,0.0,1.9,59.5,13.8,0,2,0,16,4,7,56,381,245
CENTRAL ISD,7,1575,6.2,20.0,71.4,0.4,0.1,0.0,1.9,53.1,10.3,1,6,0,315,97,29,162,1124,836
ARANSAS COUNTY ISD,2,3246,1.5,40.2,53.3,0.4,2.2,0.0,2.4,55.5,8.7,71,12,0,1304,48,77,282,1730,1801
ARCHER CITY ISD,9,482,0.8,8.7,85.5,0.6,0.0,0.0,4.4,37.1,10.8,0,2,0,41,3,21,52,412,178
HOLLIDAY ISD,9,901,0.3,6.8,90.8,0.3,0.1,0.0,1.7,23.6,9.0,0,2,0,61,2,15,81,818,212
WINDTHORST ISD,9,458,0.2,28.4,69.7,1.1,0.2,0.0,0.4,34.5,7.6,0,5,0,130,0,1,34,319,158
CLAUDE ISD,16,357,2.5,12.6,82.1,0.6,0.0,0.0,2.2,40.9,10.4,0,2,0,44,8,7,37,293,146
CHARLOTTE ISD,20,513,0.2,87.1,12.1,0.0,0.0,0.0,0.6,69.4,10.3,0,0,0,446,1,3,52,62,356
JOURDANTON ISD,20,1633,1.0,58.5,39.3,0.2,0.1,0.0,0.9,56.3,8.1,1,3,0,955,16,14,132,641,919
LYTLE ISD,20,1720,0.9,79.5,18.3,0.5,0.0,0.2,0.5,71.4,6.6,0,8,3,1367,15,8,113,314,1228
