"AGGREGATION LEVEL","REGION","DISTNAME","DISTRICT","SECTION","HEADING","HEADING NAME","YR09"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","A-PARTICIPATION","A01","DISTRICT CUMULATIVE YEAR END ENROLLMENT","848"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","A-PARTICIPATION","A02","DISTRICT DISCIPLINE POPULATION","70"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","A-PARTICIPATION","A03","DISTRICT DISCIPLINE RECORD COUNT","152"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B01","COUNT OF STUDENTS EXPELLED TO JJAEP","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B03","DISCRETIONARY EXPULSIONS TO JJAEP","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B04","COUNT OF STUDENTS EXPELLED","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B06","DISCRETIONARY EXPULSIONS","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B07","COUNT OF STUDENTS REMOVED TO A DAEP","12"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B08","MANDATORY DAEP REMOVALS","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B09","DISCRETIONARY DAEP REMOVALS","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B10","COUNT OF STUDENTS SUSPENDED IN SCHOOL","64"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B12","DISCRETIONARY IN SCHOOL SUSPENSIONS","134"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B13","STUDENTS SUSPENDED OUT OF SCHOOL","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","B-DISCIPLINE DATA TRENDS","B15","DISCRETIONARY OUT OF SCHOOL SUSPENSIONS","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","C-JJAEP EXPULSIONS","C03","HISPANIC","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","D-EXPULSION ACTIONS","C08","HISPANIC","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","E-DAEP PLACEMENTS","C11","AFRICAN AMERICAN","-99999999"
"DISTRICT SUMMARY","17","ABERNATHY ISD","095901","E-DAEP PLACEMENTS","C13","HISPANIC","10"
