DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT13R,DA0912DR13R,DAGC4X13R,DAGC5X12R,DA0GR13N,DA0GH13N,DA00A001S14R,DA00AR01S14R,DA00AW01S14R,DA00AM01S14R,DA00AC01S14R,DA00AS01S14R,DB00A001S14R,DH00A001S14R,DW00A001S14R,DI00A001S14R,D300A001S14R,D400A001S14R,D200A001S14R,DE00A001S14R,DA0CT13R,DA0CC13R,DA0CSA13R,DA0CAA13R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CAYUGA ISD,001902,001 ANDERSON,07,Met Standard,3,553,4.9,7.1,81.6,0,1.1,0,5.4,38,0.4,13.7,0.4,32.5,9.8,96.1,0,94.1,94.7,49,39,88,88,89,91,87,80,82,78,89,.,100,.,88,84,51,16,1324,20.3,109.3,54.9,1.4,2.8,6.1,50.2,11.4,28.1,77442,67048,53032,44558,13.6,5.1,10.1,14.6,15.6,8.2,23.8,3.6,5.5,90.9,0,81.2,10.3,1,0.2,6.7,0.6,480837,1.04,8080536,13581,33.9,42.8,23.3,1492107,0,8888321,8254285,13873,55.7,8.6,3.4,9.2,23.1,4598965,7729,44,42.5,4.7,0,2.7,0.2,4.8,0.9,0,0.1,500 to 999,Rural,"$469,944 to < $525,059",Under $1.1251
ELKHART ISD,001903,001 ANDERSON,07,Met Standard,4,1207,4.2,9,82.3,0.2,1,0.2,3.1,51.5,1,8.9,1,19.2,3.8,96.2,0.3,97.6,98.6,80,58,85,87,85,83,88,83,64,81,87,-1,93,100,81,80,55,13.6,1445,17.8,171,98.8,1.2,2.9,4.9,57.7,8.1,25.1,91995,63337,49766,42025,9.5,7.1,12.2,20.7,13.1,14.9,10.3,1,6.1,92.9,0,80.1,12.4,1,0,4.2,2.4,209492,1.36,11749935,9506,58.7,36.7,4.7,3072731,0,10624474,9592545,7761,56.3,6.9,5.8,12.6,18.4,5395349,4365,62.9,14.6,9.1,0,6.5,0.1,5.6,1.2,0,0,"1,000 to 1,599",Non-metropolitan Stable,"$200,649 to < $226,769",$1.3593 and over
FRANKSTON ISD,001904,001 ANDERSON,07,Met Standard,3,762,12.2,8.7,74.9,0.4,0.3,0,3.5,58.4,2,9.7,2,28.7,5.2,96.1,0.4,94.2,100,50,45,81,83,81,79,85,64,74,78,82,-1,.,.,78,74,46,13,1341,17.2,112.6,57.2,3.5,2.9,3.2,50.8,11.1,28.5,70762,67356,50474,42865,8.4,6.8,13.3,26.6,13.5,9.4,10.7,1.7,1.7,94.8,1.7,78,6.5,1.2,0,13.5,0.7,400573,1.47,7994003,10644,38.1,55.7,6.2,1192473,0,17440953,6335441,8436,54.6,8,6.2,10.3,21,3457246,4604,58.7,13.5,11.1,0.3,7.2,0.4,5.2,1.5,2.1,0.2,500 to 999,Rural,"$400,089 to < $441,532",$1.3593 and over
NECHES ISD,001906,001 ANDERSON,07,Met Standard,3,389,6.4,10.8,80.7,0,0.5,0,1.5,38.6,0.8,9,0.8,41.4,6.9,96.7,0,95,100,19,14,89,88,87,89,97,79,83,80,90,.,-1,.,85,84,31.6,16.7,-1,21.5,59.8,34.8,0.7,3.3,2.9,58.3,8.1,26.7,89765,66950,44507,42350,16.6,6.5,11.2,25.8,12.8,2.4,20.6,5.7,0,94.3,0,80.9,8.3,1.4,0,8,1.5,273278,1.364,4432430,10917,53,41.8,5.2,708090,0,4126791,3612302,8897,55,7.6,7.1,11.1,19.2,1986807,4894,65.7,16.7,10,0.1,5.5,0.5,0,1.4,0,0.3,Under 500,Rural,"$259,094 to < $282,185",$1.3593 and over
PALESTINE ISD,001907,001 ANDERSON,07,Met Standard,6,3263,28,38.6,29,1.3,0.7,0,2.2,75.9,13.6,7.8,12.4,24.5,3.5,96.1,1.9,91.1,92.3,200,188,68,66,55,76,67,71,58,69,79,52,100,.,73,64,41,26.8,1349,19.9,484.5,260.6,1.7,3.4,6.8,53.8,14.8,19.6,90837,68741,49409,42939,23.7,6.7,12.5,41.3,10.7,12.6,23.2,8,6.5,83.6,1.9,70.7,8.8,8.2,1.1,6.1,5.1,300151,1.566,36394156,11069,37.1,47.1,15.8,6067576,0,37695983,29690088,9030,52,8.9,5.4,11.9,21.9,15423681,4691,55.7,14.9,14.1,1.3,4.8,0.6,5.1,1.2,0.7,1.7,"3,000 to 4,999",Independent Town,"$299,922 to < $312,844",$1.3593 and over
WESTWOOD ISD,001908,001 ANDERSON,07,Met Standard,4,1602,17.5,22,55.2,0.3,0.6,0.2,4.1,61.7,5.2,10,4.7,20.6,3.2,96,0.6,97.8,94.3,89,73,69,70,63,67,73,69,64,66,72,-1,82,.,50,64,53.9,12.5,1403,19.3,174.1,123.5,2,3.9,5.7,70.9,14.9,2.6,84606,63902,50923,40396,13.4,9.2,13,39.1,11.3,12.4,18.7,7.7,3.2,86.6,2.4,76.2,11,4.2,0.3,6.5,1.8,272171,1.17,13990623,8642,50.6,42.6,6.8,3537212,0,15160304,13584576,8391,59.3,6.3,6.1,9.6,18.7,8050935,4973,63.7,12.9,12.7,0.3,2.8,0.6,4.1,1,1.3,0.9,"1,600 to 2,999",Non-metropolitan Stable,"$259,094 to < $282,185",$1.1251 to under $1.2365
SLOCUM ISD,001909,001 ANDERSON,07,Met Standard,2,412,1.7,5.3,89.6,0.2,0,0,3.2,47.8,0.2,11.9,0.2,39.8,4.1,97.1,1.5,92.6,96.7,25,21,86,89,83,83,87,91,100,82,86,-1,.,.,89,85,44,54.5,1540,23,57.6,37.9,3.5,3.5,3.3,65.8,0,24,70368,66010,45213,45596,0,7.2,10.9,14.6,14.3,4,5.4,0,0,100,0,70.1,1.6,18,0,10.3,0,249142,1.04,4019727,9157,60.8,33.2,6.1,1145755,0,3738111,3457629,7876,63.7,6.3,5.3,8.4,16.4,2201211,5014,59.6,13,14.5,0.2,7.4,0.2,3.5,1.6,0,0,Under 500,Rural,"$239,665 to < $259,094",Under $1.1251
ANDREWS ISD,002901,002 ANDREWS,18,Met Standard,6,3758,1.4,66.3,30,0.3,0.3,0,1.6,42,11.8,6.6,13.4,16.7,3.2,95.7,1.6,92.2,92.1,177,134,67,67,55,67,67,81,60,62,79,73,83,.,70,58,43.5,15.6,1405,18.8,481,256.5,1.6,1.7,5.3,53.3,11.6,26.4,105268,86017,67500,55913,34.8,7.8,14.7,23.8,13.3,20.3,12.6,0.4,20.2,74.3,5.1,71.6,6,11.4,2.1,3.5,5.4,1148599,1.17,41416856,11451,5.4,88.8,5.7,18480261,0,35387941,29093710,8044,58.7,6.7,4.2,11.5,19,17064915,4718,61,13.7,11.6,0.8,3.7,1.1,4.9,1,1.3,0.8,"3,000 to 4,999",Other Central City Suburban,"$683,703 to < $2,233,241",$1.1251 to under $1.2365
PINEYWOODS COMMUNITY ACADEMY,003801,003 ANGELINA,07,Met Standard,2,701,17.4,15.3,63.3,0.1,2.3,0.1,1.4,49.1,3,6.6,3,5.6,3.1,96.2,0,.,.,20,18,76,77,72,71,82,82,58,61,83,-1,93,-1,70,69,0,.,.,.,84.7,44.8,4.7,2.4,10.6,52.9,2.2,27.2,78360,50542,50432,43364,22.1,8.3,15.6,46.9,7.2,24.6,16,8.9,4.5,84.4,2.2,93.6,3.5,0,0,0.4,2.5,.,.,5295322,8339,84.8,6.6,8.6,0,1729428,5303461,5166404,8136,63.4,7.3,7.6,6,15.7,3273373,5155,81.9,8.2,7.7,0,0,0,2.2,0,0,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
HUDSON ISD,003902,003 ANGELINA,07,Met Standard,5,2774,5.8,23.3,67.3,1,1,0,1.6,53.9,6.8,6.2,6.6,24.3,5.9,96.6,0.5,93.5,95.5,166,134,87,86,79,90,89,78,73,81,89,100,94,-1,82,81,54.8,26.4,1442,21.2,376.2,185.3,1.3,3.2,7.9,49.3,5.3,33,93685,70257,51347,45825,15.4,7.4,15,22.7,13.5,20.5,14.1,1.1,2.2,94.6,2.2,69,5.4,2.6,9.8,6.2,7,136219,1.24,25251364,9263,64.8,25.3,9.9,3842071,0,24534483,21164872,7764,54.9,4.7,5.9,12.7,21.7,11619576,4263,45,13,15.1,4.9,5.5,6.2,2.8,1.7,2.1,3.8,"1,600 to 2,999",Non-metropolitan Stable,"$101,960 to < $151,909",$1.2365 to under $1.3593
