DISTRICT,DZCAMPUS,DA00A001S15R,DB00A001S15R,DW00A001S15R,DH00A001S15R,DI00A001S15R,D200A001S15R,D300A001S15R,D400A001S15R,DE00A001S15R,DA00AR01S15R,DA00AM01S15R,DA00AC01S15R,DA00AS01S15R,DA00AW01S15R,DA0AT14R,DA0912DR14R,DAGC4X14R,DAGC5X13R,DA0GH14N,DA0CC14R,DA0CT14R,DA0CSA14R,DA0CAA14R,DA0GR14N,DPSTTOFC,DPSATOFC,DPSTURNR,DPSTEXPA,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSAKIDR,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTSPFP,DPSTGOFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTO2FP,DPST05FP,DPSTADFP,DPSTKIDR,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPETALLC,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DZRVLOCP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DISTNAME,REGION,DZRATING,DZCNTYNM,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
001902,3,87,94,89,68,,82,-1,,78,90,93,82,81,88,96.6,1.4,86.5,94.1,30,16.7,36.4,1426,-1,33,54,107.6,12.6,15.4,50.2,6.6,2.8,1.4,12.5,26.6,13.8,5.4,81.9,5.5,0.2,0,11.3,1.2,3.7,90.7,5.6,0,16.7,8.3,10.7,44925,52456,70641,77442,577,82.8,4.7,6.4,0,0.5,0,5.5,36.4,0.2,13.2,31.4,0.2,10.4,527264,1.04,8181198,14794,36.4,22.4,1423666,0,8345548,8328548,15061,57.2,4767662,8621,42.7,44.8,4.7,0,2.7,0.2,4,0.9,0,0,41.2,8.2,3.4,7.7,23.4,CAYUGA ISD,07,Met Standard,001 ANDERSON,500 to 999,Rural,"$512,265 to < $533,171",Under $1.1398
001903,5,85,61,87,76,,91,90,-1,79,87,89,87,78,81,96.5,1.6,93.6,96.4,58,20.6,47.2,1433,20.1,72,100.7,168.5,9.7,13.6,59.8,5.5,3,1.2,9.4,21.1,9.5,7.2,80.7,6.6,0,1.1,8.9,2.7,2,93,5,0,20.9,14.6,12.1,41985,50334,64107,92045,1217,81.4,5.3,8.9,0.1,1.1,0.2,3.1,53.2,1.3,10.4,22.4,1.3,3.9,238079,1.36,11367111,9418,58.1,4.7,866177,0,12128191,9751418,8079,57.7,5622664,4658,62.8,15.2,9,0,6.4,0.2,5.3,1.1,0,0,37.2,6.9,5.9,11.6,17.9,ELKHART ISD,07,Met Standard,001 ANDERSON,"1,000 to 1,599",Non-metropolitan Stable,"$233,451 to < $256,362",$1.2401 to under $1.3690
001904,3,81,65,84,76,-1,67,,,73,83,96,82,73,77,96.4,0.8,100,96.2,48,10,52.6,1339,18.1,57,56.9,115.6,23.5,12.8,49.3,4.1,2.6,3.7,11.3,29,9,6.9,80.3,10.6,0,1.8,6.7,0.5,1.8,96.5,1.8,0,31.6,7.2,14.1,41609,50169,68673,73199,803,73.2,11.1,10.3,0.5,0.9,0,4,55.5,2.4,9.7,26.5,2.4,5.7,373698,1.47,8350897,10959,44,5.5,1513528,0,13051751,6764455,8877,52.9,3580863,4699,60.8,12.3,10.7,0.3,6.6,0.3,5.5,1.5,2.2,0.1,50.4,7.9,5.4,12,21.8,FRANKSTON ISD,07,Met Standard,001 ANDERSON,500 to 999,Rural,"$369,248 to < $393,190",$1.3690 and over
001906,2,80,58,82,77,,-1,-1,,70,79,78,81,82,81,96.6,0.7,97.6,100,32,11.8,42.5,-1,18.8,40,34.7,60.9,11.5,12.8,57,3.1,3.3,0.7,6.6,29.4,14.7,6.1,80.3,9.1,0,1.4,7.7,1.5,5.8,94.2,0,0,28.8,2.1,10.7,42884,46300,70209,92458,370,78.9,8.1,11.1,0,0.3,0,1.6,42.2,0.8,11.1,31.9,0.8,6.5,334333,1.364,3905867,10041,52.5,5.8,352471,0,4144370,3696621,9503,53.9,1991586,5120,65.6,16.6,10.1,0,5.6,0.5,0,1.4,0,0.2,41.6,7.5,7.1,12.7,18.9,NECHES ISD,07,Met Standard,001 ANDERSON,Under 500,Rural,"$332,093 to < $369,248",$1.2401 to under $1.3690
001907,6,69,61,81,67,58,79,85,,65,69,80,69,67,66,96.2,0.6,94.6,93.9,163,20,39.8,1389,20.1,176,268,485,21.9,10,55.3,7.2,3.1,1.9,13.6,19,22.9,6.9,74.3,6.7,0.9,8.2,9.4,0.6,9.9,81.9,7.1,1.1,48.2,12.5,12.5,43642,50031,72758,86481,3352,28.6,27.2,39.1,1.4,0.9,0.1,2.8,73.3,15.6,8.7,32.7,14,3.1,308923,1.566,39552081,12121,37.3,19.1,6077798,0,41367564,33493508,10265,53.4,17881307,5480,61.9,8.9,12.1,1.1,5.4,0.6,4.8,0.9,2.6,1.7,43.6,8.8,6.3,10.6,20.9,PALESTINE ISD,07,Met Standard,001 ANDERSON,"3,000 to 4,999",Independent Town,"$307,766 to < $322,342",$1.3690 and over
001908,4,72,69,77,67,-1,66,93,,67,75,90,71,64,64,96.2,0.4,94,97.8,65,16.7,60.8,1367,21.5,79,129.2,226.1,28,12.2,57.1,5.3,3.1,1.5,11,22,16,7.1,77.4,6.5,1,3.5,10,1.6,6.2,89.2,3.1,1.5,34.8,12,12.3,42097,49484,66907,93837,1595,53,17.4,25,0.3,0.8,0,3.6,63.9,6,9.3,20.9,5.4,2.1,271314,1.17,14497616,9050,52.9,7.4,2706229,0,15820702,13520171,8440,56.8,7681379,4795,61.2,12.4,13.5,0.1,3.2,0.7,4.6,1.3,2.3,0.8,39.7,6.9,6.4,10.6,19.3,WESTWOOD ISD,07,Met Standard,001 ANDERSON,"1,000 to 1,599",Non-metropolitan Stable,"$267,621 to < $285,930",$1.1398 to under $1.2401
001909,2,91,-1,91,80,100,100,,,87,90,96,95,96,82,96.8,0,100,92.6,23,6.3,55.2,1447,18.4,29,37.7,59.5,14.2,13.6,63.5,3.4,3.4,3.4,0,26.5,1.6,6.5,74.8,8.3,0,5.7,11.2,0,0,100,0,0,16.6,2.6,10.3,44371,46191,67510,72243,389,90,1.3,5.7,1,0,0,2.1,41.9,0,12.3,38,0,4.1,284061,1.04,3827394,9290,58.4,6.2,612234,0,3767836,3470021,8422,64.5,2239504,5436,60.8,12.7,13.8,0.2,7.7,0.3,3.2,1.3,0,0,35.5,6.3,5.5,8.4,15.3,SLOCUM ISD,07,Met Standard,001 ANDERSON,Under 500,Rural,"$267,621 to < $285,930",Under $1.1398
002901,6,69,65,82,64,100,73,100,,59,71,74,71,67,57,96,0.7,93.7,93.7,174,20.4,42.6,1430,19.9,230,269,503.7,14.8,13.4,53.4,5.7,2,1.6,11.9,25.4,34.6,8,71.2,4.9,2.4,10.6,6.4,4.5,0.4,72.6,23,4.1,23.3,21.1,14.9,56155,66295,77880,111107,4006,29.9,1.5,66.7,0.2,0.3,0,1.5,36.5,12.7,6.4,21.6,13.1,3,1404058,1.17,43641340,11613,9.9,6.2,19804253,0,49797510,35640748,9484,57.9,20644934,5494,59.8,13.1,12.9,0.5,3.5,0.8,5.7,0.9,1.8,1,84,6.9,4.5,11.9,18.8,ANDREWS ISD,18,Met Standard,002 ANDREWS,"3,000 to 4,999",Other Central City Suburban,"$666,628 to < $1,678,318",$1.1398 to under $1.2401
003801,2,78,63,85,65,,64,95,-1,72,80,89,83,78,59,96.5,0,,,20,20,47.6,1552,-1,21,50,96.6,19.6,7.7,51.8,10.4,4.1,3.1,7.2,23.4,23.4,8.4,94.6,2.5,0,0,1.5,1.5,8,84,6,2,40,28,16.2,43174,51441,57404,93413,811,61.9,16.5,17.3,0,2.3,0.1,1.8,50.2,5.1,6,9.2,5.1,7.4,,,6098173,8699,86.9,6.9,0,2106305,5593897,5455398,7782,63.7,3477433,4961,81.5,12.3,3.6,0,0.1,0,1.9,0,0.5,0,6.3,9.2,6,6.1,15,PINEYWOODS COMMUNITY ACADEMY,07,Met Standard,003 ANGELINA,500 to 999,Charters,Non-taxing entities,Non-taxing entities
003902,5,86,75,89,82,83,89,88,-1,80,86,95,90,84,79,96.3,0.8,96.3,94.1,153,25.9,59.7,1450,21.2,181,193.9,399,12,12.7,48.6,8,3.3,1,4.1,35,15.1,7.1,66,6,9.4,4.9,6.2,7.5,0.5,94.2,3.2,2.1,25.3,18,14.5,46218,54020,69732,102193,2816,67.1,6.8,23,0.9,0.9,0,1.3,53.2,6.3,7.1,24.6,6,5.3,136074,1.24,27452971,9897,65.5,9.1,1162520,0,25878909,22469990,8100,55.4,12444956,4486,51.1,12.3,13.3,1,5.6,6.1,2.9,1.5,2.4,3.8,25.4,4.8,6,12.3,21.5,HUDSON ISD,07,Met Standard,003 ANGELINA,"1,600 to 2,999",Non-metropolitan Stable,"$103,884 to < $153,471",$1.1398 to under $1.2401
