SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT08R,DA0708DR08R,DADC408R,DA0GR08N,DAGC408R,DA311TA09R,DA311TR09R,DA311TW09R,DA311TM09R,DA311TC09R,DA311TS09R,DB311TA09R,DH311TA09R,DW311TA09R,DO311TA09R,DE311TA09R,DACTA09R,DA0CT08R,DA0CC08R,DA0CS08R,DA0CA08R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Cayuga,001902,001 ANDERSON,07,RE,3,594,9,4,86,1,31.5,0,14,0,32,11,96.3,0,3.2,30,96.8,84,97,99,91,78,97,78,92,84,60,86,83,37.5,11.1,923,.,105,55,1,3,6,53,13,23,65363,59746,50223,41044,14,5.7,10.8,23.5,12.6,11.9,3.8,5,5,89,0,80,10,0,0,6,3,563325,1.040000,8719653,15034,30,49,21,1977734,34,8136207,7417070,12788,55,9,3,8,23,4108584,7084,42,47,5,0,2,0,3,0
Elkhart,001903,001 ANDERSON,07,RE,3,1340,7,7,86,1,47,1,12,1,26,5,95.7,0,1.3,73,93.6,78,95,96,86,81,91,31,63,82,.,68,80,45.6,19.2,977,20.4,198,107,2,2,5,54,15,22,62266,49442,41800,38533,9,6.8,12.5,28.1,12.8,15,12.6,1,3,96,0,73,10,8,0,6,3,176677,1.170000,11423793,8308,70,25,5,668800,7,10356432,9558620,6952,59,7,4,10,20,5674116,4127,63,19,9,0,3,0,5,0
Frankston,001904,001 ANDERSON,07,AA,3,760,14,7,79,1,53,4,12,4,43,7,95.2,0,0,53,98.2,76,94,96,82,81,98,43,74,81,.,66,83,53.3,25,978,23.8,126,71,1,3,7,56,8,25,90285,60181,54340,39790,3,6,10.7,23.9,13.4,14.1,17.9,3,1,96,0,80,7,4,1,9,0,402394,1.124000,7557860,9436,48,45,7,1325350,20,7461237,7085955,8846,57,9,5,10,20,4047992,5054,66,11,12,0,5,1,4,0
Neches,001906,001 ANDERSON,07,RE,2,390,10,9,80,1,34.9,0,15,1,35,10,96.5,0,5.3,16,84.2,75,92,98,84,83,84,45,76,79,.,65,65,41.7,0,.,19.8,52,31,2,4,4,60,4,27,83000,54075,39692,38260,4,7.5,12.6,51.6,8,0,22.6,3,0,97,0,82,6,3,0,9,0,257911,1.310000,3947181,10934,53,42,5,1259083,42,3728711,2981438,8259,55,8,7,12,19,1623839,4498,69,16,8,0,5,1,0,0
Palestine,001907,001 ANDERSON,07,AA,5,3267,30,34,35,1,67.6,10,8,10,25,4,95.4,0,4.3,185,88.5,68,87,91,77,77,92,52,67,81,.,62,81,43.9,27.8,996,21.1,472,258,2,2,7,55,16,18,80603,66580,49037,41135,22,6.9,12.7,36.2,12.5,18.3,20,7,3,90,0,66,12,9,4,5,5,295587,1.291000,31467207,9524,46,42,12,7913336,30,30088368,27590180,8351,56,7,5,10,21,15518605,4697,53,18,17,1,5,1,4,1
Westwood,001908,001 ANDERSON,07,RE,4,1759,18,16,65,2,50,4,11,4,17,4,95.2,0.7,7.3,94,88.2,79,93,94,85,82,96,70,67,83,76,70,87,75.3,12.7,904,17.3,228,127,1,3,6,56,11,23,75903,57127,42317,39502,17,7.7,13.8,29.9,13.6,18.9,21,5,2,93,0,78,12,5,0,3,2,233900,1.040000,14249316,8203,59,35,6,3287780,21,12466375,11323745,6519,59,5,7,11,18,6638165,3822,57,16,14,1,3,4,4,1
Slocum,001909,001 ANDERSON,07,EX,2,387,1,3,95,1,48.1,1,12,1,42,8,96.5,0,3.8,24,84.6,82,92,95,88,89,92,.,60,83,.,77,89,41.2,28.6,967,.,57,36,2,5,4,64,7,19,81000,55829,42970,41478,2,6.8,10.7,25,13.8,4.2,8.1,0,0,97,3,71,10,6,0,14,0,248300,0.938000,3822999,10114,61,31,7,2053519,74,3683462,3127782,8275,61,7,5,8,19,1895312,5014,59,13,17,0,7,1,3,0
Andrews,002901,002 ANDREWS,18,AU,6,3116,2,61,36,1,41.8,10,10,8,18,5,95.1,0.4,17,194,80.9,70,88,93,80,72,89,52,64,81,67,64,84,42.3,18.3,961,19.1,465,226,2,1,6,49,12,31,98785,86667,65908,55115,28,6.7,13.8,19,14.8,15.1,10.1,0,12,87,1,60,7,16,5,4,8,1297690,1.171000,35591485,11727,27,66,7,13835606,27,54377878,29829957,9829,57,7,4,14,18,17009860,5605,61,15,12,1,4,2,5,1
Pineywoods Community Acad,003801,003 ANGELINA,07,AA,1,304,29,16,53,1,68.8,0,15,0,0,0,95.9,0,.,0,.,53,82,77,72,51,92,44,50,59,.,53,.,.,.,.,.,45,25,4,5,10,55,7,18,60346,35626,35517,36222,14,6.7,12.2,60,6.2,8,34.6,0,4,96,0,84,4,12,0,0,0,0,0.000000,2514119,8032,84,7,10,1422693,71,2207552,2088865,6674,58,9,6,12,14,1217774,3891,82,7,9,0,0,0,1,0
Hudson,003902,003 ANGELINA,07,RE,5,2482,6,19,74,2,54.1,6,9,6,24,5,96,0,5,172,91.7,89,96,96,93,90,98,77,81,91,85,84,92,58.4,23,970,19.2,339,176,1,4,5,52,3,35,97003,66153,49204,42666,11,7.3,14.1,34.2,12.7,13.7,15.2,2,2,95,1,63,10,4,7,6,11,116821,1.240000,22141396,8853,68,23,9,4756583,27,22347800,18279360,7309,55,6,6,13,21,9964069,3984,63,13,11,1,4,1,3,4
Lufkin,003903,003 ANGELINA,07,AA,17,8575,30,34,35,1,70,16,13,20,17,11,95.4,0.6,13.4,507,78.7,77,92,97,86,79,92,65,72,89,96,70,88,61.3,22.9,979,17.5,1329,618,1,3,7,47,13,30,92903,67046,51121,43471,34,6.5,13.9,29.4,14.2,17.2,10.2,12,6,81,0,64,11,5,7,5,9,230193,1.153000,70935388,8306,52,35,13,16420841,29,71381603,66861003,7829,56,7,5,11,21,37327350,4371,60,16,16,1,4,0,2,1
Huntington,003904,003 ANGELINA,07,RE,5,1768,2,5,93,1,46.9,1,10,1,30,7,94.5,0,5.2,117,85.2,76,92,89,84,79,94,47,49,77,.,67,80,41.7,20,986,19.8,259,128,2,3,4,49,9,33,77500,63714,46554,40090,3,6.8,13.8,31.3,13.1,13.3,17.7,0,0,100,0,77,12,4,0,6,1,99792,1.500000,14139479,8216,70,22,8,1008557,9,19723727,12769256,7420,55,6,6,11,22,6988101,4060,58,18,10,0,8,1,4,1
Diboll,003905,003 ANGELINA,07,AA,6,1833,15,49,36,1,71.2,14,10,13,28,5,95.3,0.4,4.3,109,89.6,74,93,86,83,77,96,61,74,80,60,71,92,55.4,15.7,980,17.8,275,141,2,3,6,51,11,26,65228,62556,44303,41034,28,6.7,13,35.3,11.3,14.2,24.9,5,6,89,0,78,3,9,1,4,5,154009,1.040000,16086978,8781,63,23,14,2808904,22,16717069,15611936,8522,57,7,5,11,20,8916385,4867,56,13,20,3,4,1,3,0
Zavalla,003906,003 ANGELINA,07,AA,3,468,1,3,96,1,56,0,15,0,26,5,95.6,0,3.7,26,96.3,65,94,89,71,72,93,.,71,64,.,51,79,47.4,11.1,.,19,71,39,3,4,6,55,10,23,63250,64488,42710,40532,1,6.6,12,23.1,11.4,7.7,6.9,0,3,97,0,79,8,5,0,8,0,160953,1.104000,4356223,8982,67,21,12,402443,11,4560633,4159137,8576,58,12,5,9,17,2401997,4953,56,18,18,0,5,1,3,0
Central,003907,003 ANGELINA,07,RE,5,1565,4,13,82,1,49.8,4,14,3,27,5,95.4,0,3.8,121,87,80,94,95,88,80,92,43,69,83,.,74,91,35.7,31.4,1033,17.6,212,114,3,3,7,54,12,22,67076,58548,44407,42822,5,7.4,13.7,24.6,12.8,8.8,22,0,5,95,0,75,9,2,2,6,7,135589,1.200000,13212428,8357,72,20,8,3644166,32,13952943,12250441,7749,58,6,6,12,19,7052358,4461,64,17,10,0,6,1,1,1
Aransas County,004901,004 ARANSAS,02,RE,5,3024,2,37,57,4,60.6,4,10,4,30,4,95.1,0,7.1,187,87.7,75,92,93,81,84,96,70,67,79,89,68,94,65.4,21.7,983,20,505,244,2,3,7,48,11,29,78066,61964,47316,43136,21,6,12.4,32.4,12.1,28.2,16.5,1,9,89,2,81,13,1,1,4,0,809521,1.085000,34197656,10839,30,58,12,8160802,22,34712342,31127636,9866,54,7,5,14,20,16878717,5350,61,15,15,0,4,0,4,1
Archer City,005901,005 ARCHER,09,RE,2,450,0,3,96,1,33.1,0,12,0,34,6,95.5,0,2.9,35,97.1,78,96,.,85,79,95,.,40,79,.,70,90,50,7.1,985,20.7,84,47,1,2,6,56,13,22,92000,71750,45583,40306,1,5.3,9.6,24.5,11.4,5.3,14.5,0,2,98,0,82,7,2,0,9,0,403276,1.060000,5560568,12088,57,39,5,874126,19,5373333,4760754,10349,57,6,5,13,21,2688484,5845,66,11,9,0,6,0,8,0
Holliday,005902,005 ARCHER,09,EX,3,858,1,4,93,1,26.1,0,8,0,32,5,96.8,0,0,79,98.7,84,95,95,90,88,97,.,78,84,63,77,100,81.9,33.9,1050,21.8,115,67,2,3,5,58,16,16,80950,65500,42949,38623,6,7.5,12.8,21.6,12.6,6,8.7,0,3,97,0,83,6,5,0,6,0,274323,1.180000,7465170,8919,58,37,5,469042,7,7314031,6591892,7876,55,6,6,13,20,3597098,4298,69,9,6,0,7,1,7,1
Windthorst,005904,005 ARCHER,09,RE,2,493,0,24,75,1,42,13,9,13,36,7,97.6,0,2.9,33,94.3,88,96,96,95,86,99,.,63,94,.,79,98,81.3,53.8,1202,23.6,64,38,0,3,4,58,8,27,.,59230,44164,41110,9,7.7,13.1,13.3,14.4,0,14.9,0,3,97,0,82,4,4,3,8,0,122066,1.270000,5140120,10260,73,21,7,1519541,36,4478218,4072539,8129,59,6,5,12,18,2383776,4758,62,9,13,1,7,1,8,0
Claude,006902,006 ARMSTRONG,16,RE,2,325,2,7,91,0,34.2,2,15,2,29,8,96.9,0,4.3,22,95.7,82,96,97,85,82,95,.,75,83,.,75,97,90.5,31.6,.,20.9,66,39,3,3,4,59,9,22,66270,56701,48686,40132,5,4.9,8.4,25.7,12.5,4.8,26.1,0,3,97,0,86,6,2,0,6,0,358080,1.150000,4470921,12594,64,30,7,1628882,44,4221933,3817617,10754,57,9,6,11,17,2183264,6150,69,12,10,0,4,0,5,0
Charlotte,007901,007 ATASCOSA,20,AA,5,514,0,86,14,0,73.5,5,9,5,42,5,95.1,1.3,6.1,30,90.9,49,77,91,61,57,72,.,46,63,.,44,70,72.2,0,.,15.6,88,44,2,3,2,50,19,24,73238,60304,53570,46677,53,5.9,11.7,24.9,12.5,23,24.1,0,29,71,0,73,7,1,8,11,0,189808,1.200000,5573496,10950,70,21,9,636623,13,5617155,5169777,10157,59,11,6,12,13,3025079,5943,53,10,24,2,8,0,3,0
Jourdanton,007902,007 ATASCOSA,20,RE,6,1257,1,60,39,1,55.8,2,9,2,28,7,96.1,0,7.1,79,85.9,76,93,94,82,81,88,.,70,86,88,69,82,54.8,20,889,19,194,100,1,5,3,52,14,26,78633,70433,56754,46853,42,6.5,12.6,28,13.9,20,16.5,0,20,80,0,82,7,1,0,7,3,334532,1.170000,12431768,9914,47,45,8,2511366,24,12234424,11264980,8983,56,6,7,12,20,6281876,5009,64,12,11,0,7,0,5,1
Lytle,007904,007 ATASCOSA,20,AA,5,1690,1,77,22,1,68.5,7,8,6,34,6,96.1,0,6.1,113,80.9,62,89,85,72,68,91,71,59,72,.,55,88,72.4,17.1,930,20,255,115,2,7,10,45,10,26,75507,46013,44344,42914,53,6.6,14.7,44.3,9.6,22.6,21.8,1,34,65,0,75,10,7,0,7,2,121729,1.240000,15987206,9918,68,18,14,1168527,9,15771113,14163388,8786,52,6,5,12,24,7329238,4547,55,14,19,1,6,0,5,1
Pleasanton,007905,007 ATASCOSA,20,AA,9,3452,0,67,32,0,61.8,3,10,3,23,6,95,0.2,13,222,76.5,74,91,93,82,77,91,86,69,84,71,65,79,48.1,22.7,996,20.1,560,257,2,3,7,46,14,29,83212,67237,51989,43157,36,6.2,13.4,37.7,10.1,14.4,20.8,0,20,79,1,74,13,5,0,4,5,184254,1.150000,31810448,9128,56,31,13,4644048,18,32537682,29698412,8522,54,6,6,11,22,16152100,4635,58,24,9,1,4,1,2,2
