DISTRICT,DISTNAME,DPETALLC,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
1902,CAYUGA ISD,577,2,0,0,36,27,31,76,477,210
1903,ELKHART ISD,1217,13,1,2,108,64,37,126,990,647
1904,FRANKSTON ISD,803,7,4,0,82,89,32,77,587,445
1906,NECHES ISD,370,1,0,0,41,29,5,41,291,156
1907,PALESTINE ISD,3352,30,46,3,1310,911,93,291,958,2457
1908,WESTWOOD ISD,1595,12,4,0,398,277,57,148,845,1019
1909,SLOCUM ISD,389,0,3,0,22,5,8,47,350,162
2901,ANDREWS ISD,4006,12,8,0,2672,60,60,256,1197,1462
3801,PINEYWOODS COMMUNITY ACADEMY,811,18,0,0,140,133,14,48,502,407
3902,HUDSON ISD,2816,25,25,0,647,191,36,199,1889,1498
3903,LUFKIN ISD,8322,141,16,8,3270,2413,166,873,2305,6149
3904,HUNTINGTON ISD,1755,1,8,0,115,29,40,168,1558,888
3905,DIBOLL ISD,1930,5,1,1,1038,231,30,212,619,1296
3906,ZAVALLA ISD,412,0,2,0,16,4,7,56,381,245
3907,CENTRAL ISD,1575,1,6,0,315,97,29,162,1124,836
4901,ARANSAS COUNTY ISD,3246,71,12,0,1304,48,77,282,1730,1801
5901,ARCHER CITY ISD,482,0,2,0,41,3,21,52,412,178
5902,HOLLIDAY ISD,901,0,2,0,61,2,15,81,818,212
5904,WINDTHORST ISD,458,0,5,0,130,0,1,34,319,158
6902,CLAUDE ISD,357,0,2,0,44,8,7,37,293,146
7901,CHARLOTTE ISD,513,0,0,0,446,1,3,52,62,356
7902,JOURDANTON ISD,1633,1,3,0,955,16,14,132,641,919
7904,LYTLE ISD,1720,0,8,3,1367,15,8,113,314,1228
7905,PLEASANTON ISD,3568,14,7,0,2483,17,28,256,1013,1819
7906,POTEET ISD,1742,1,5,0,1475,5,8,134,245,1336
8901,BELLVILLE ISD,2159,6,6,0,610,218,47,172,1267,995
8902,SEALY ISD,2793,11,5,2,1309,287,53,226,1122,1583
