DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
3801,2006,,-5,,-1,,-6,,-6,255,,0,,0,,0,,0,255,,0,,0,,0,,0,54,,0,,0,,0,1,1,153,,0,,0,,0,1,2,20,,0,,0,,0,,0,255,,,,,,,,,255,,0,,0,,0,,0,31,,,,,,,,,255,,0,,0,,0,1,1,176
13801,2006,,-5,,-1,,-6,27,-1,257,,0,,0,,0,,-6,257,,0,,0,,0,1,1,10,,0,,0,,0,24,2,196,,0,,0,,0,17,-2,193,,0,,0,,0,,-6,257,,,,,,,,,257,,0,,0,,0,14,5,44,,,,,,,,,257,,0,,0,,0,8,2,49
14801,2006,,-5,,-1,2,-6,11,-6,395,,0,,0,,-5,,-6,395,,0,1,1,1,1,8,2,174,,0,,0,,-1,1,-3,170,,0,,0,1,1,1,-1,91,,0,,0,,-5,,-6,395,,,,,,,,,395,,0,,0,1,2,1,1,36,,,,,,,,,395,,0,,0,1,1,1,-2,118
14803,2006,,-3,,-1,,-6,8,-4,159,,0,,0,,0,,-6,159,,0,,0,,0,8,4,84,,0,,0,,0,6,-1,136,,0,,0,,0,,-2,32,,0,,0,,0,,-6,159,,,,,,,,,159,,0,,0,,0,1,-1,40,,,,,,,,,159,,0,,0,,0,1,-1,43
14804,2006,,-6,,-1,,-6,,-6,615,,0,,0,,0,,0,615,,0,,0,,0,,0,148,,0,,0,,0,,0,615,,0,,0,,0,,0,148,,0,,0,,0,,0,615,,,,,,,,,615,,0,,0,,0,,0,387,,,,,,,,,615,,0,,0,,0,,0,320
15801,2006,,-6,6,4,,-6,,-6,616,,0,,-6,,0,,0,616,,0,,0,,0,,0,6,,0,1,-2,,0,,0,304,,0,1,-5,,0,1,0,505,,0,,-6,,0,,0,616,,,,,,,,,616,,0,1,1,,0,,0,74,,,,,,,,,616,,0,1,1,,0,,0,92
15802,2006,,-6,,-2,,-6,35,-6,803,,0,,0,,0,,-6,803,,0,,0,,0,29,5,402,,0,,0,,0,27,-3,736,,0,,0,,0,5,-5,337,,0,,0,,0,,-6,803,,,,,,,,,803,,0,,0,,0,11,4,96,,,,,,,,,803,,0,,0,,0,1,-1,56
15805,2006,,-6,,-1,626,6,140,5,738,,0,,0,,-6,,-6,738,,0,,0,43,3,10,2,30,,0,,0,450,-3,95,-3,573,,0,,0,559,-2,122,-2,679,,0,,0,1,-6,,-6,738,,,,,,,,,738,,0,,0,153,6,46,6,103,,,,,,,,,738,,0,,0,23,-1,8,1,30
15806,2006,,-6,,-3,,-6,,-6,2189,,0,,0,,0,,0,2189,,0,,0,,0,,0,700,,0,,0,,0,,0,1740,,0,,0,,0,,0,1335,,0,,0,,0,,0,2189,,,,,,,,,2189,,0,,0,,0,,0,241,,,,,,,,,2189,,0,,0,,0,,0,153
15807,2006,49,-3,2,-2,353,-6,105,-6,2518,,-6,,-6,,-6,,-6,2518,13,1,1,1,140,6,35,3,604,16,-5,1,-1,185,-5,46,-5,1586,31,1,,-2,177,-4,59,-1,1460,,-6,,-6,,-6,,-6,2518,,,,,,,,,2518,9,1,,-1,61,2,18,1,353,,,,,,,,,2518,5,-2,,-1,36,-5,11,-2,428
