DISTRICT,Year,ALL-DAE,ALL-DAE-S,ALL-EXP,ALL-EXP-S,ALL-ISS,ALL-ISS-S,ALL-OSS,ALL-OSS-S,ALL-POP,ASI-DAE,ASI-DAE-S,ASI-EXP,ASI-EXP-S,ASI-ISS,ASI-ISS-S,ASI-OSS,ASI-OSS-S,ASI-POP,BLA-DAE,BLA-DAE-S,BLA-EXP,BLA-EXP-S,BLA-ISS,BLA-ISS-S,BLA-OSS,BLA-OSS-S,BLA-POP,ECO-DAE,ECO-DAE-S,ECO-EXP,ECO-EXP-S,ECO-ISS,ECO-ISS-S,ECO-OSS,ECO-OSS-S,ECO-POP,HIS-DAE,HIS-DAE-S,HIS-EXP,HIS-EXP-S,HIS-ISS,HIS-ISS-S,HIS-OSS,HIS-OSS-S,HIS-POP,IND-DAE,IND-DAE-S,IND-EXP,IND-EXP-S,IND-ISS,IND-ISS-S,IND-OSS,IND-OSS-S,IND-POP,PCI-DAE,PCI-DAE-S,PCI-EXP,PCI-EXP-S,PCI-ISS,PCI-ISS-S,PCI-OSS,PCI-OSS-S,PCI-POP,SPE-DAE,SPE-DAE-S,SPE-EXP,SPE-EXP-S,SPE-ISS,SPE-ISS-S,SPE-OSS,SPE-OSS-S,SPE-POP,TWO-DAE,TWO-DAE-S,TWO-EXP,TWO-EXP-S,TWO-ISS,TWO-ISS-S,TWO-OSS,TWO-OSS-S,TWO-POP,WHI-DAE,WHI-DAE-S,WHI-EXP,WHI-EXP-S,WHI-ISS,WHI-ISS-S,WHI-OSS,WHI-OSS-S,WHI-POP
1902,2006,,-6,,-1,73,-6,6,-6,653,,0,,0,,-6,,-6,653,,0,,0,1,-5,,-1,91,,0,,0,28,-1,1,-1,263,,0,,0,1,-1,,-1,26,,0,,0,,-6,,-6,653,,,,,,,,,653,,0,,0,28,5,1,1,104,,,,,,,,,653,1,0,,0,67,3,6,1,529
1903,2006,19,-5,,-2,479,-2,13,-6,1491,,-6,,0,1,-6,,-6,1491,1,-1,,0,100,6,6,5,134,6,-2,,0,253,3,6,-1,710,1,1,,0,25,1,,-1,75,,-6,,0,,-6,,-6,1491,,,,,,,,,1491,8,3,,0,155,6,5,2,253,,,,,,,,,1491,14,-2,,0,352,-6,7,-4,1282
1904,2006,14,-3,,-2,330,1,18,-6,915,,-6,,0,,-6,,-6,915,1,-1,1,2,94,6,7,3,128,9,1,1,1,212,6,14,3,459,,-1,,0,16,-2,1,-1,64,,-6,,0,,-6,,-6,915,,,,,,,,,915,10,6,1,2,135,6,7,3,128,,,,,,,,,915,10,-1,,0,220,-6,10,-3,723
1906,2006,6,-2,,-1,68,-6,2,-6,369,,-6,,0,,-6,,-5,369,1,1,,0,5,-1,,0,30,6,4,,0,48,6,1,1,140,,-1,,0,1,-1,,0,15,,-6,,0,,-6,,-5,369,,,,,,,,,369,5,4,,0,27,5,1,1,77,,,,,,,,,369,8,1,,0,59,-1,1,-1,321
1907,2006,94,-2,,-5,1581,5,214,-6,4103,1,-6,,0,1,-6,1,-6,4103,42,4,,0,794,6,128,6,1231,70,3,,0,1179,6,159,5,2605,21,-2,,0,389,-5,28,-6,1231,,-6,,0,,-6,1,-6,4103,,,,,,,,,4103,28,6,,0,400,6,53,6,451,,,,,,,,,4103,30,-2,,0,396,-6,56,-5,1641
1908,2006,52,-1,2,-1,695,-1,97,-6,2042,,-6,,-6,1,-6,,-6,2042,8,-1,,-1,172,6,40,6,347,15,-3,1,1,333,3,44,1,892,6,-1,1,1,76,-1,18,2,245,,-6,,-6,1,-6,,-6,2042,,,,,,,,,2042,8,1,1,1,234,6,24,4,286,,,,,,,,,2042,38,1,1,-1,445,-5,39,-6,1450
1909,2006,2,-5,,-1,109,-5,19,-6,457,,-6,,0,,-6,,-6,457,,0,,0,,-2,,-1,9,1,-1,1,1,80,4,14,2,266,1,2,,0,1,-3,1,1,23,,-6,,0,,-6,,-6,457,,,,,,,,,457,1,1,1,1,53,6,12,5,101,,,,,,,,,457,1,-2,1,0,106,2,17,-1,425
2901,2006,94,1,,-4,447,-6,127,-6,3157,,-6,,0,,-6,,-6,3157,5,2,,0,12,1,1,-1,63,45,1,,0,216,1,64,1,1493,52,-1,1,1,322,6,73,-1,1831,,-6,,0,,-6,,-6,3157,,,,,,,,,3157,27,4,,0,111,6,40,5,505,,,,,,,,,3157,37,-1,,0,113,-6,50,-1,1263
3902,2006,49,-4,7,1,997,2,228,-6,2715,1,-6,,-6,1,-6,,-6,2715,1,-1,,-1,88,6,10,1,109,22,-2,1,-3,643,6,140,3,1474,7,-1,1,-1,287,6,76,6,543,1,-6,,-6,1,-6,1,-6,2715,,,,,,,,,2715,17,5,1,1,279,6,59,6,299,,,,,,,,,2715,37,1,7,2,616,-6,140,-5,2036
3903,2006,368,6,11,-3,3378,1,1373,5,9664,,-6,,-6,6,-6,1,-6,9664,179,6,6,2,1721,6,764,6,2996,229,-1,6,-1,2273,6,932,5,6069,100,-2,1,-2,790,-6,286,-6,2899,1,-6,,-6,,-6,1,-6,9664,,,,,,,,,9664,125,6,1,-1,1155,6,489,6,1450,,,,,,,,,9664,88,-6,1,-2,861,-6,321,-6,3672
3904,2006,41,-2,,-3,562,-5,110,-6,1929,,-6,,0,,-6,,-6,1929,1,-1,,0,51,6,11,5,58,19,1,,0,318,6,68,5,862,,-2,,0,23,1,,-3,77,,-6,,0,,-6,,-6,1929,,,,,,,,,1929,21,6,1,2,171,6,36,6,289,,,,,,,,,1929,40,1,1,0,488,-6,99,-2,1794
3905,2006,33,-5,,-3,792,4,74,-6,2029,,-6,,0,,-6,,-6,2029,5,1,,0,194,6,31,6,284,21,-1,1,1,629,6,62,4,1422,18,1,1,1,383,1,25,-3,954,,-6,,0,,-6,,-6,2029,,,,,,,,,2029,7,2,,0,161,6,22,5,243,,,,,,,,,2029,10,-1,,0,215,-6,18,-3,771
