DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total DAEP PLACEMENTS,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average
001902,CAYUGA ISD,07,553,4.9,7.1,81.6,0,1.1,0,5.4,38,13.7,2,1.3158,3.6496,10.2041,0,0.6127,1,0,1,0
001903,ELKHART ISD,07,1207,4.2,9,82.3,0.2,1,0.2,3.1,51.5,8.9,2,0.9709,0,0,0,0.6075,0,0,0,16.1290
001904,FRANKSTON ISD,07,762,12.2,8.7,74.9,0.4,0.3,0,3.5,58.4,9.7,3,0.5708,0,2.7322,3.8314,0.4450,0,0,1,0
001906,NECHES ISD,07,389,6.4,10.8,80.7,0,0.5,0,1.5,38.6,9,2,1.2953,0,7.8125,0,0.6196,1,0,1,0
001907,PALESTINE ISD,07,3263,28,38.6,29,1.3,0.7,0,2.2,75.9,7.8,75,1.5108,0.8547,1.9524,1.1054,0.0460,0,0,1,0.6061
001908,WESTWOOD ISD,07,1602,17.5,22,55.2,0.3,0.6,0.2,4.1,61.7,10,25,1.1669,2.4000,0.2286,0.1818,1.5942,0,0,0,0.9756
001909,SLOCUM ISD,07,412,1.7,5.3,89.6,0.2,0,0,3.2,47.8,11.9,7,0.2989,1.2005,0,0,1.1161,0,1,1,0
002901,ANDREWS ISD,18,3758,1.4,66.3,30,0.3,0.3,0,1.6,42,6.6,33,1.0823,0.4591,0,0.9598,1.2121,0,0,1,0
003801,PINEYWOODS COMMUNITY ACADEMY,07,701,17.4,15.3,63.3,0.1,2.3,0.1,1.4,49.1,6.6,0,1,1,1,1,1,1,1,1,1
003902,HUDSON ISD,07,2774,5.8,23.3,67.3,1,1,0,1.6,53.9,6.2,63,1.9142,2.5602,0.2737,1.1581,0.9906,0,1.5873,1,0.9921
003903,LUFKIN ISD,07,8383,28.5,39.7,28,0.2,1.5,0.1,1.9,73.5,10.5,395,1.2297,2.8210,1.7677,0.7461,0.6962,0,0.1688,0,0.1332
003904,HUNTINGTON ISD,07,1760,2.7,5.9,88.5,0.4,0.2,0,2.4,52,9.9,28,1.5797,0.3608,1.3228,0,0.9685,8.9286,0,1,1.4881
003905,DIBOLL ISD,07,1982,11.8,53.7,32.8,0.1,0.3,0,1.2,75.6,9.4,37,0.0358,2.3002,2.2904,0.9059,0.7416,0,0,1,0
003906,ZAVALLA ISD,07,410,0.7,3.7,93.7,0.5,0,0,1.5,59,11.2,0,1,1,1,1,1,1,1,1,1
003907,CENTRAL ISD,07,1592,6.7,18.3,73.3,0.3,0.1,0,1.3,53.6,9.9,35,1.3859,0.2886,3.4115,0.1561,0.9745,9.5238,0,1,0
004901,ARANSAS COUNTY ISD,02,3212,1.2,41,53,0.4,2.4,0,2.1,55.6,8.7,182,1.3835,2.0210,0.4579,1.0721,1.0367,0,0,1,0.2616
005901,ARCHER CITY ISD,09,487,0.4,8.8,84.8,0.6,0,0,5.3,38.6,11.1,2,1.2953,4.5045,0,5.6818,0.5896,0,1,1,0
005902,HOLLIDAY ISD,09,892,0.3,8,89.3,0.8,0.1,0,1.5,27.2,10,5,0.7353,0,0,0,1.1198,0,0,1,0
005904,WINDTHORST ISD,09,461,0,29.5,69.2,1.1,0,0,0.2,40.3,7.6,0,1,1,1,1,1,1,1,1,1
006902,CLAUDE ISD,16,369,2.2,11.7,82.9,0.5,0,0,2.7,40.7,12.2,2,1.2285,0,0,4.2735,0,0,1,1,18.5185
007901,CHARLOTTE ISD,20,534,0,84.1,15.2,0.2,0,0,0.6,71.3,9.2,2,3.5063,5.4348,1,0.5945,3.2895,0,1,1,0
007902,JOURDANTON ISD,20,1552,0.7,58.8,38.9,0.3,0.2,0.1,1.1,56.1,8.2,41,1.5217,1.7847,0,1.3688,0.5016,0,0,0,0
007904,LYTLE ISD,20,1762,0.7,79.9,18.4,0.4,0,0.2,0.3,71.5,6.6,2,28.6713,106.0606,0,0.6258,2.7174,0,1,0,0
