DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total IN SCHOOL SUSPENSIONS,ratio ECO. DISADV. IN SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average
001902,CAYUGA ISD,07,553,4.9,7.1,81.6,0,1.1,0,5.4,38,13.7,42,2.3183,3.4758,0.4859,0.3353,1.1380,1,0,1,0.4409
001903,ELKHART ISD,07,1207,4.2,9,82.3,0.2,1,0.2,3.1,51.5,8.9,476,1.3584,1.4399,2.3509,0.5602,1.0287,0,0,1.0504,0.0678
001904,FRANKSTON ISD,07,762,12.2,8.7,74.9,0.4,0.3,0,3.5,58.4,9.7,190,1.1806,1.8448,0.9922,1.0284,1.0400,1.3158,0,1,0.1504
001906,NECHES ISD,07,389,6.4,10.8,80.7,0,0.5,0,1.5,38.6,9,36,1.2234,2.7778,0.4340,0.2572,1.1359,1,0,1,1.8519
001907,PALESTINE ISD,07,3263,28,38.6,29,1.3,0.7,0,2.2,75.9,7.8,871,1.1647,1.4866,1.6073,0.7882,0.7958,0.0883,0.1640,1,0.5741
001908,WESTWOOD ISD,07,1602,17.5,22,55.2,0.3,0.6,0.2,4.1,61.7,10,874,1.2944,1.3043,1.5561,0.9673,0.9286,0,0.1907,0,0.0279
001909,SLOCUM ISD,07,412,1.7,5.3,89.6,0.2,0,0,3.2,47.8,11.9,83,1.4115,2.0249,0,0.2273,1.0892,0,1,1,0.3765
002901,ANDREWS ISD,18,3758,1.4,66.3,30,0.3,0.3,0,1.6,42,6.6,495,1.4045,1.2550,0.1443,1.0269,0.9630,0,0.6734,1,1.6414
003801,PINEYWOODS COMMUNITY ACADEMY,07,701,17.4,15.3,63.3,0.1,2.3,0.1,1.4,49.1,6.6,152,1.4739,1.0965,1.8149,0.6450,0.9042,0,0.2860,0,0.4699
003902,HUDSON ISD,07,2774,5.8,23.3,67.3,1,1,0,1.6,53.9,6.2,628,1.6012,2.1317,3.1298,0.9636,0.8612,0.9554,0.1592,1,0.0995
