DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total OUT OF SCHOOL SUSPENSIONS,ratio ECO. DISADV. OUT OF SCHOOL SUSPENSIONS vs average,ratio SPEC. ED. OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average
001902,CAYUGA ISD,07,553,4.9,7.1,81.6,0,1.1,0,5.4,38,13.7,3,0.8772,2.4331,6.8027,4.6948,0.4085,1,0,1,0
001903,ELKHART ISD,07,1207,4.2,9,82.3,0.2,1,0.2,3.1,51.5,8.9,4,7.7670,2.8090,5.9524,2.7778,0.3038,0,0,0,8.0645
001904,FRANKSTON ISD,07,762,12.2,8.7,74.9,0.4,0.3,0,3.5,58.4,9.7,3,0.5708,0,2.7322,0,0.4450,0,0,1,9.5238
001906,NECHES ISD,07,389,6.4,10.8,80.7,0,0.5,0,1.5,38.6,9,7,0.3701,0,0,0,1.2392,1,0,1,0
001907,PALESTINE ISD,07,3263,28,38.6,29,1.3,0.7,0,2.2,75.9,7.8,432,1.2596,1.6619,2.0668,0.5157,0.7423,0.1781,0.3307,1,0.1052
001908,WESTWOOD ISD,07,1602,17.5,22,55.2,0.3,0.6,0.2,4.1,61.7,10,152,1.6314,2.0395,2.1429,0.0299,1.0965,0,1.0965,0,0.1605
001909,SLOCUM ISD,07,412,1.7,5.3,89.6,0.2,0,0,3.2,47.8,11.9,2,10.4603,4.2017,0,0,0.5580,0,1,1,15.6250
002901,ANDREWS ISD,18,3758,1.4,66.3,30,0.3,0.3,0,1.6,42,6.6,86,1.9934,2.9951,0,1.4557,0.0388,0,3.8760,1,0.7267
003801,PINEYWOODS COMMUNITY ACADEMY,07,701,17.4,15.3,63.3,0.1,2.3,0.1,1.4,49.1,6.6,3,0.6789,5.0505,1.9157,2.1786,0.5266,0,0,0,0
003902,HUDSON ISD,07,2774,5.8,23.3,67.3,1,1,0,1.6,53.9,6.2,78,2.0694,1.4475,5.9682,0.0550,0.8953,0,1.2821,1,0.8013
003903,LUFKIN ISD,07,8383,28.5,39.7,28,0.2,1.5,0.1,1.9,73.5,10.5,922,1.1938,2.7890,1.7696,0.6229,0.7592,0.5423,0.0723,0,1.7696
003904,HUNTINGTON ISD,07,1760,2.7,5.9,88.5,0.4,0.2,0,2.4,52,9.9,31,1.9851,0.3258,1.1947,0,1.0570,0,0,1,1.3441
003905,DIBOLL ISD,07,1982,11.8,53.7,32.8,0.1,0.3,0,1.2,75.6,9.4,77,1.2025,3.7303,3.1917,0.7013,0.7523,0,0,1,0
003906,ZAVALLA ISD,07,410,0.7,3.7,93.7,0.5,0,0,1.5,59,11.2,3,0.5650,2.9762,47.6190,9.0090,0.3557,0,1,1,0
003907,CENTRAL ISD,07,1592,6.7,18.3,73.3,0.3,0.1,0,1.3,53.6,9.9,76,1.6447,2.3923,3.7313,0.0719,0.9873,0,0,1,1.0121
004901,ARANSAS COUNTY ISD,02,3212,1.2,41,53,0.4,2.4,0,2.1,55.6,8.7,326,1.4786,2.8912,1.5337,1.1073,0.9839,0,0.1278,1,0.1461
005901,ARCHER CITY ISD,09,487,0.4,8.8,84.8,0.6,0,0,5.3,38.6,11.1,2,1.2953,22.5225,0,5.6818,0.5896,0,1,1,0
005902,HOLLIDAY ISD,09,892,0.3,8,89.3,0.8,0.1,0,1.5,27.2,10,0,1,1,1,1,1,1,1,1,1
005904,WINDTHORST ISD,09,461,0,29.5,69.2,1.1,0,0,0.2,40.3,7.6,0,1,1,1,1,1,1,1,1,1
006902,CLAUDE ISD,16,369,2.2,11.7,82.9,0.5,0,0,2.7,40.7,12.2,2,1.2285,4.0984,0,4.2735,0.6031,0,1,1,0
007901,CHARLOTTE ISD,20,534,0,84.1,15.2,0.2,0,0,0.6,71.3,9.2,1,1.4025,10.8696,1,1.1891,0,0,1,1,0
007902,JOURDANTON ISD,20,1552,0.7,58.8,38.9,0.3,0.2,0.1,1.1,56.1,8.2,2,0.8913,30.4878,0,0.8503,1.2853,0,0,0,0
007904,LYTLE ISD,20,1762,0.7,79.9,18.4,0.4,0,0.2,0.3,71.5,6.6,3,17.2494,85.8586,47.6190,0.4172,1.8116,0,1,0,0
007905,PLEASANTON ISD,20,3517,0.4,69.7,28.5,0.2,0.4,0,0.8,61.1,6.9,101,1.4260,1.0044,0,1.3069,0.3127,0,0,1,0
007906,POTEET ISD,20,1758,0.3,84.4,14.4,0.1,0.1,0.1,0.6,81.9,7.4,213,1.0892,1.4592,1.5649,1.0346,0.7825,4.6948,0,0,0.7825
008901,BELLVILLE ISD,06,2121,10.7,27.3,58.9,0.3,0.2,0,2.6,45.8,8,121,1.7142,4.5455,2.1627,1.0898,0.7016,0,0,1,2.2250
008902,SEALY ISD,06,2766,10,46.9,40.8,0.2,0.3,0.1,1.8,55.5,8,213,1.7680,3.1103,4.0845,1.2413,0.0115,0,0,0,0.2608
008903,BRAZOS ISD,06,822,9.1,49.6,38.2,0,0.7,0,2.3,56.4,5.2,51,1.5297,3.0166,1.0774,1.3836,0.5646,1,0,1,0
009901,MULESHOE ISD,17,1461,0.3,82,17,0,0.6,0,0.1,84.3,10.2,35,1.1523,4.2017,9.5238,1.1498,0.1681,1,0,1,0
